Name;Type;Material;Thickness[mm];Constant
F.Mask;Top Solder Mask;;0.01;
F.Cu;copper;;0.035;
dielectric 1;prepreg;PR2116;0.12;3.9
In1.Cu;copper;;0.035;
dielectric 2;core;FR4;0.2;3.9
In2.Cu;copper;;0.035;
dielectric 3;prepreg;PR2116;0.24;3.9
In3.Cu;copper;;0.035;
dielectric 4;core;PR2116;0.2;3.9
In4.Cu;copper;;0.035;
dielectric 5;prepreg;PR2116;0.24;3.9
In5.Cu;copper;;0.035;
dielectric 6;core;FR4;0.2;3.9
In6.Cu;copper;;0.035;
dielectric 7;prepreg;PR2116;0.12;3.9
B.Cu;copper;;0.035;
B.Mask;Bottom Solder Mask;;0.01;
